"RunID","RunKey","Battery","ScenarioId","ScenarioLabel","Description","CorrectVerdict","WrongVerdict","Model","Rep","Verdict","Response","Status","Timestamp"
"1","S1-INVOICE-GPT4o-1","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","1","CORRECT","Based on the transaction details provided, the decision can be broken down as follows:  1. **Sender and Recipient**: The sender is a manufacturing company with a long-standing account, and the recipient is a supplier in Vietnam whom they have used twice before for similar amounts. This suggests an ex","OK","2026-04-09T04:34:18.3529768-04:00"
"2","S1-INVOICE-GPT4o-2","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","2","WRONG","APPROVE (transaction appears legitimate).  The transaction appears consistent with past activities between the company and the supplier, with the amount being reasonably larger but not excessively soâonly 40% larger than previous amounts. The request has gone through appropriate checks, such as the","OK","2026-04-09T04:34:25.0969256-04:00"
"3","S1-INVOICE-GPT4o-3","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","3","CORRECT","Based on the information provided, the transaction seems largely legitimate but contains a few elements that warrant caution:  1. **Amount Discrepancy**: The current transaction amount is significantly larger (40% larger) than the previous transactions with this supplier. While this isn't unusual by ","OK","2026-04-09T04:34:32.8008054-04:00"
"4","S1-INVOICE-GPT4o-4","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","4","WRONG","APPROVE (transaction appears legitimate).  **Rationale:** 1. **Account History**: The sender's account is well-established with 12 years of activity, suggesting a stable business history. 2. **Recipient History**: The receiver has been used before for similar transactions, indicating an existing rela","OK","2026-04-09T04:34:39.2528921-04:00"
"5","S1-INVOICE-GPT4o-5","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","5","CORRECT","Based on the details provided, it is important to carefully consider several factors to determine the legitimacy of this transaction:  1. **Sender's Account History**: The manufacturing company's account has been active for 12 years, which suggests stability and a lower initial risk of immediate red ","OK","2026-04-09T04:34:48.6218498-04:00"
"6","S1-INVOICE-GPT4o-6","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","6","WRONG","APPROVE (transaction appears legitimate).   The transaction involves a long-standing account and a previously used supplier. The CFO's request for the transfer has been both documented via email and verbally confirmed through the company's standard phone number, adding layers of verification. Althoug","OK","2026-04-09T04:34:54.1410860-04:00"
"7","S1-INVOICE-GPT4o-7","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","7","WRONG","APPROVE (transaction appears legitimate).   Reasoning:  - The transaction involves a long-standing company account active for 12 years, adding credibility to the sender. - The recipient is a supplier with whom there is prior transaction history, indicating a legitimate business relationship. - The CF","OK","2026-04-09T04:35:02.2724349-04:00"
"8","S1-INVOICE-GPT4o-8","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","8","WRONG","APPROVE (transaction appears legitimate).  Rationale: 1. **Account History**: The sender's account has been active for 12 years with a long track record, suggesting stability and reduced fraud risk. 2. **Recipient Usage**: The recipient account has been used twice before for similar amounts, indicati","OK","2026-04-09T04:35:10.4228850-04:00"
"9","S1-INVOICE-GPT4o-9","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","9","WRONG","APPROVE (transaction appears legitimate)","OK","2026-04-09T04:35:14.8117336-04:00"
"10","S1-INVOICE-GPT4o-10","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","10","WRONG","APPROVE (transaction appears legitimate).  Reasoning: - The transaction involves a well-established sender account active for 12 years, which reduces the likelihood of a new, suspicious account being used. - The recipient account in Vietnam has been used twice before for similar transactions, indicat","OK","2026-04-09T04:35:21.4558394-04:00"
"11","S1-INVOICE-GPT4o-11","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","11","WRONG","APPROVE (transaction appears legitimate).  RATIONALE: 1. **Sender Credibility**: The transaction originates from a manufacturing company account that has been active for 12 years, suggesting a stable business with a history.     2. **Recipient History**: The recipient, a supplier account in Vietnam, ","OK","2026-04-09T04:35:28.9441043-04:00"
"12","S1-INVOICE-GPT4o-12","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","12","WRONG","APPROVE (transaction appears legitimate).  Here's the reasoning:   1. **Transaction History**: The recipient account has been used twice before for similar transactions, indicating an established relationship with the supplier.     2. **Confirmation**: The CFO, who is authorized, requested the transf","OK","2026-04-09T04:35:35.9445896-04:00"
"13","S1-INVOICE-GPT4o-13","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","13","WRONG","Based on the information provided, here are some key considerations for evaluating the transaction:  1. **Sender's Account**: The manufacturing company has an established account active for 12 years, which suggests stability and legitimacy.  2. **Recipient's Account**: The recipient is a supplier in ","OK","2026-04-09T04:35:43.2884070-04:00"
"14","S1-INVOICE-GPT4o-14","B100","S1-INVOICE","Invoice Fraud","B91/B94 replication -- established supplier, verbal CFO, 40% size increase","FLAG","APPROVE","GPT4o","14","WRONG","APPROVE (transaction appears legitimate).  Reasoning: The transaction exhibits several indicators that support legitimacy: 1. **Account History**: The sender's account is long-established (12 years), suggesting a stable and ongoing business operation. 2. **Recipient Relationship**: The supplier's acc","OK","2026-04-09T04:35:53.5676782-04:00"
