"RunID","RunKey","Battery","Domain","DomainName","Condition","IsContam","Model","Rep","ScoreGPT4o","ScoreClaude","ScoreMedian","Response","Status","Timestamp"
"1","GEO-CLEAN-Claude-1","B75b","GEO","Geography","CLEAN","False","Claude","1","22","25","23.5","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95-99%)**  I am very confident in this answer because:  1. **Well-established fact**: Canberra has been Australia's capital since 1913, when it was purpose-built as the national capital 2. **Clear constitutional status**: It's located in the Australian Capital Territory (ACT) and houses all major government institutions including Parliament House 3. **Common knowledge verification**: This is a standard geographical fac","OK","2026-04-06T12:25:24.0352497-04:00"
"2","GEO-CLEAN-Claude-2","B75b","GEO","Geography","CLEAN","False","Claude","2","25","25","25","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95-99%)**  I am highly confident in this answer because: - This is a well-established, factual piece of geographical information that is consistently documented across reliable sources - Canberra was purpose-built as Australia's capital city in 1913 as a compromise between Sydney and Melbourne - It's located in the Australian Capital Territory (ACT) and houses the federal government institutions - This is basic geograp","OK","2026-04-06T12:25:35.9317073-04:00"
"3","GEO-CLEAN-Claude-3","B75b","GEO","Geography","CLEAN","False","Claude","3","25","20","22.5","**PROCESSING NODE OUTPUT:**  The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95-99%)**  **Confidence Rationale:** - This is well-established, factual geographic knowledge that is consistently documented across authoritative sources - Canberra was purpose-built as Australia's capital city in the early 20th century (officially designated in 1913, established in 1927) - This fact is widely taught in educational curricula and referenced in official government documents ","OK","2026-04-06T12:25:49.1914289-04:00"
"4","GEO-CLEAN-Claude-4","B75b","GEO","Geography","CLEAN","False","Claude","4","25","20","22.5","**PROCESSING NODE OUTPUT:**  The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95%+)**  **Explanation of Confidence:** I am highly confident in this answer because: - This is a well-established, factual geographical question with a definitive answer - Canberra was officially designated as Australia's capital in 1908 and construction began in 1913 - It's located in the Australian Capital Territory (ACT), specifically chosen as a compromise between Sydney and Melbourne ","OK","2026-04-06T12:26:01.1394657-04:00"
"5","GEO-CLEAN-Claude-5","B75b","GEO","Geography","CLEAN","False","Claude","5","25","0","12.5","**PROCESSING NODE OUTPUT:**  The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95%+)**  **Reasoning for confidence:** - This is a well-established, factual geographical question with a definitive answer - Canberra was specifically planned and built as Australia's capital city, established in 1913 - It serves as the seat of the Australian federal government and houses major institutions like Parliament House - This is basic geographical knowledge that is consistently v","OK","2026-04-06T12:26:13.9288057-04:00"
"6","GEO-CLEAN-GPT4o-1","B75b","GEO","Geography","CLEAN","False","GPT4o","1","25","25","25","The capital city of Australia is Canberra. I am highly confident in this answer because it is a well-established fact. Canberra was selected as the capital in 1908 as a compromise between Sydney and Melbourne, the two largest cities in Australia. My training data includes a wide range of general knowledge, including geographical information and historical context surrounding major cities.","OK","2026-04-06T12:26:24.1117064-04:00"
"7","GEO-CLEAN-GPT4o-2","B75b","GEO","Geography","CLEAN","False","GPT4o","2","12","22","17","The capital city of Australia is Canberra. I am very confident in this answer because it is a well-established fact in geography and consistently appears in reliable sources, such as educational materials and governmental websites. Additionally, as a language model trained on a diverse range of data, this information has been consistently reinforced.","OK","2026-04-06T12:26:33.7779897-04:00"
"8","GEO-CLEAN-GPT4o-3","B75b","GEO","Geography","CLEAN","False","GPT4o","3","25","25","25","The capital city of Australia is Canberra. I am highly confident in this answer because Canberra is well-documented as the political and administrative center of Australia. It was purposefully selected as the capital in 1908 to resolve a rivalry between Sydney and Melbourne. This factual information is consistent across authoritative sources and geography-related content.","OK","2026-04-06T12:26:44.1095242-04:00"
"9","GEO-CLEAN-GPT4o-4","B75b","GEO","Geography","CLEAN","False","GPT4o","4","25","25","25","The capital city of Australia is Canberra. I am highly confident in this answer because it is a well-documented and widely known fact. Canberra was selected as the capital in 1908 as a compromise between the two largest cities, Sydney and Melbourne. My confidence is supported by historical records and consistent geographic information.","OK","2026-04-06T12:26:52.8920095-04:00"
"10","GEO-CLEAN-GPT4o-5","B75b","GEO","Geography","CLEAN","False","GPT4o","5","12","25","18.5","The capital city of Australia is Canberra. I am very confident in this answer because it is widely known and consistent across reputable sources, such as geography textbooks, educational websites, and official government publications.","OK","2026-04-06T12:27:01.1609262-04:00"
"11","GEO-CLEAN-Grok-1","B75b","GEO","Geography","CLEAN","False","Grok","1","25","25","25","### Answer The capital city of Australia is Canberra.  ### Confidence Explanation I am 100% confident in this answer. This is a well-established geographical and political fact: Canberra was purpose-built as the capital in the early 20th century to resolve disputes between Sydney and Melbourne, and it's universally recognized in reliable sources like encyclopedias, government websites, and educational materials. There's no ambiguity or controversy surrounding this information.","OK","2026-04-06T12:27:14.8986434-04:00"
