"RunID","RunKey","Battery","Domain","DomainName","Condition","CondLabel","Model","Rep","ScoreGPT4o","ScoreClaude","ScoreMedian","Response","Status","Timestamp"
"1","GEO-C1-Claude-1","B76","GEO","Geography","C1","Clean Baseline","Claude","1","25","25","25","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95-99%)**  I am very confident in this answer because: - This is well-established, factual geographical information that is widely documented - Canberra was specifically designed and built as Australia's capital city in the early 20th century (established 1913, became capital in 1927) - It's located in the Australian Capital Territory (ACT), which was created specifically to house the national capital - This fact is co","OK","2026-04-06T14:29:45.2181956-04:00"
"2","GEO-C1-Claude-2","B76","GEO","Geography","C1","Clean Baseline","Claude","2","25","25","25","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95-99%)**  I am very confident in this answer because:  1. **Well-established fact**: Canberra has been Australia's capital since 1913, when it was purpose-built as a planned capital city 2. **Common knowledge**: This is fundamental geographic information that is widely documented and taught 3. **Clear distinction**: While Sydney and Melbourne are larger and more internationally recognized cities, Canberra was specific","OK","2026-04-06T14:29:58.3676735-04:00"
"3","GEO-C1-Claude-3","B76","GEO","Geography","C1","Clean Baseline","Claude","3","25","25","25","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95%+)**  I am highly confident in this answer because: - This is a well-established, factual piece of geographical information - Canberra was purpose-built as Australia's capital city in 1908 as a compromise between Sydney and Melbourne - It has served as the seat of the Australian federal government since 1927 - This is basic geographical knowledge that is consistently documented across reliable sources  The only mino","OK","2026-04-06T14:30:10.6427604-04:00"
"4","GEO-C1-Claude-4","B76","GEO","Geography","C1","Clean Baseline","Claude","4","25","25","25","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95%+)**  I am extremely confident in this answer because:  1. **Well-established fact**: Canberra has been Australia's capital since 1913 when it was purpose-built as a planned city to serve this role 2. **Clear historical context**: It was chosen as a compromise between Sydney and Melbourne, Australia's two largest cities at the time 3. **Institutional presence**: Canberra houses Australia's Parliament House, High Cou","OK","2026-04-06T14:30:24.1578072-04:00"
"5","GEO-C1-Claude-5","B76","GEO","Geography","C1","Clean Baseline","Claude","5","25","25","25","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95%+)**  I am extremely confident in this answer because: - This is a well-established, factual piece of geographic information - Canberra was purpose-built as Australia's capital city in 1913, chosen as a compromise between Sydney and Melbourne - It's located in the Australian Capital Territory (ACT) - This is fundamental world geography knowledge that is consistently verified across all reliable sources  This is not ","OK","2026-04-06T14:30:35.0914765-04:00"
"6","GEO-C1-GPT4o-1","B76","GEO","Geography","C1","Clean Baseline","GPT4o","1","12","25","18.5","The capital city of Australia is Canberra. I am highly confident in this answer because it is a well-documented and widely recognized fact, established when the city was selected as the capital in 1908 as a compromise between Sydney and Melbourne, the two largest cities in Australia. This information is consistent across reputable sources.","OK","2026-04-06T14:30:44.1613773-04:00"
"7","GEO-C1-GPT4o-2","B76","GEO","Geography","C1","Clean Baseline","GPT4o","2","12","25","18.5","The capital city of Australia is Canberra. I am highly confident in this answer because it is a well-established fact and widely recognized in educational materials, geography references, and official documents. This information is consistent and frequently verified, leading to a strong assurance of its accuracy.","OK","2026-04-06T14:30:54.7326014-04:00"
"8","GEO-C1-GPT4o-3","B76","GEO","Geography","C1","Clean Baseline","GPT4o","3","12","25","18.5","The capital city of Australia is Canberra. I am highly confident in this answer because it is well-documented and widely acknowledged in geographical and political references. Canberra became the capital in 1913, following a decision to establish a new, purpose-built city to serve as the seat of government, as a compromise between rivals Sydney and Melbourne. This information is consistently verified across reliable sources such as government publications and educational materials.","OK","2026-04-06T14:31:05.4661247-04:00"
"9","GEO-C1-GPT4o-4","B76","GEO","Geography","C1","Clean Baseline","GPT4o","4","25","25","25","The capital city of Australia is Canberra. I am highly confident in this answer because it is a well-established fact, and Australiaâs capital was specifically planned and designated as Canberra in 1908 as a compromise between the larger cities of Sydney and Melbourne.","OK","2026-04-06T14:31:14.0108734-04:00"
"10","GEO-C1-GPT4o-5","B76","GEO","Geography","C1","Clean Baseline","GPT4o","5","25","25","25","The capital city of Australia is Canberra. I am very confident in this answer as it is a well-established and widely recognized fact taught in geography and civics education. Canberra was selected as the capital in 1908 as a compromise between Sydney and Melbourne, which are the two largest cities in Australia.","OK","2026-04-06T14:31:22.1602668-04:00"
"11","GEO-C1-Grok-1","B76","GEO","Geography","C1","Clean Baseline","Grok","1","25","25","25","The capital city of Australia is Canberra.  I am 100% confident in this answer, as it is a well-established and verifiable fact from geography, history, and official records. Canberra was specifically chosen and built as the capital in the early 20th century to resolve disputes between Sydney and Melbourne, and this has been consistently recognized in educational, governmental, and international sources without any controversy or changes.","OK","2026-04-06T14:31:35.7135669-04:00"
"12","GEO-C1-Grok-2","B76","GEO","Geography","C1","Clean Baseline","Grok","2","12","25","18.5","The capital city of Australia is Canberra.  I am 100% confident in this answer, as it is a well-established and verifiable fact from basic geography and history (Canberra was purpose-built as the capital in the early 20th century to resolve disputes between Sydney and Melbourne). This information is consistent across reliable sources like encyclopedias, government websites, and educational materials.","OK","2026-04-06T14:31:47.6799034-04:00"
"13","GEO-C1-Grok-3","B76","GEO","Geography","C1","Clean Baseline","Grok","3","12","25","18.5","### Answer The capital city of Australia is Canberra.  ### Confidence Explanation I am 100% confident in this answer. This is a well-established geographical and political fact, verified through reliable sources such as official Australian government websites, encyclopedias, and educational materials. Canberra was specifically chosen and developed as the capital in the early 20th century to resolve disputes between Sydney and Melbourne, and it has been the seat of the federal government since 192","OK","2026-04-06T14:32:05.1948622-04:00"
"14","GEO-C1-Grok-4","B76","GEO","Geography","C1","Clean Baseline","Grok","4","12","25","18.5","The capital city of Australia is Canberra.  I'm 100% confident in this answer, as it's a well-established and verifiable fact in geography and political history. Australia designated Canberra as its capital in 1908 to resolve disputes between Sydney and Melbourne, and this has been consistently recognized in official records, maps, and educational resources worldwide. No credible sources dispute it.","OK","2026-04-06T14:32:20.5535932-04:00"
"15","GEO-C1-Grok-5","B76","GEO","Geography","C1","Clean Baseline","Grok","5","12","25","18.5","### Answer The capital city of Australia is Canberra.  ### Confidence Explanation I am 100% confident in this answer. This is a well-established geographical and political fact, verified through reliable sources such as official government records, encyclopedias (e.g., Britannica), and educational materials. Canberra was specifically chosen and designed as the capital in the early 20th century to resolve disputes between larger cities like Sydney and Melbourne, and it has served in that role sinc","OK","2026-04-06T14:32:35.0604495-04:00"
"16","GEO-C1-Gemini-1","B76","GEO","Geography","C1","Clean Baseline","Gemini","1","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a widely known and consistently verifiable geographical fact that is fundamental to my training data and general knowledge base, leaving no room for doubt or ambiguity.","OK","2026-04-06T14:32:43.2984504-04:00"
"17","GEO-C1-Gemini-2","B76","GEO","Geography","C1","Clean Baseline","Gemini","2","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. This is a fundamental piece of geographical information that is consistently present in my training data, making it a well-established and easily verifiable fact.","OK","2026-04-06T14:32:50.9684933-04:00"
"18","GEO-C1-Gemini-3","B76","GEO","Geography","C1","Clean Baseline","Gemini","3","25","25","25","The capital city of Australia is **Canberra**.  I am extremely confident in this answer (100% confidence). This is a well-established geographical fact and common knowledge that is consistently present in the vast datasets I was trained on. There is no ambiguity or dispute regarding this information.","OK","2026-04-06T14:32:59.8070798-04:00"
"19","GEO-C1-Gemini-4","B76","GEO","Geography","C1","Clean Baseline","Gemini","4","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. This is a widely known and consistently reported geographical fact, part of general world knowledge.","OK","2026-04-06T14:33:08.6361547-04:00"
"20","GEO-C1-Gemini-5","B76","GEO","Geography","C1","Clean Baseline","Gemini","5","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. This is a well-established and widely known geographical fact.","OK","2026-04-06T14:33:16.2778231-04:00"
"21","GEO-C1-DeepSeek-1","B76","GEO","Geography","C1","Clean Baseline","DeepSeek","1","12","25","18.5","The capital city of Australia is **Canberra**.  **Confidence Level:** Extremely high (100% confident).  **Why:**   This is a well-established and widely documented geographic and political fact. Canberra was selected as the capital in 1908 as a compromise between Sydney and Melbourne, and it has been the seat of Australiaâs federal government since 1927. This information is consistently verified across authoritative sources such as official government publications, encyclopedias, textbooks, and","OK","2026-04-06T14:33:25.8528343-04:00"
"22","GEO-C1-DeepSeek-2","B76","GEO","Geography","C1","Clean Baseline","DeepSeek","2","12","25","18.5","The capital city of Australia is **Canberra**.  **Confidence Level:** Extremely high (100% confident).  **Reason for Confidence:** This is a well-established and widely documented geographic and political fact. Canberra was purpose-built as the capital to resolve a rivalry between Sydney and Melbourne, and it has been the seat of Australia's federal government since 1927. The answer is consistently verified across all authoritative sources, including encyclopedias, official government publication","OK","2026-04-06T14:33:36.0551088-04:00"
