"RunID","RunKey","Battery","Condition","CondLabel","Domain","DomainName","Model","Rep","ScoreGPT4o","ScoreClaude","ScoreMedian","Response","Status","Timestamp"
"1","C1-GEO-1","B80","C1","Clean","GEO","Geography","Gemini","1","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. My confidence stems from the fact that this is a well-established, unambiguous geographical fact that is consistently present across a vast amount of reliable information within my training data. There is no historical or current ambiguity surrounding Australia's capital city.","OK","2026-04-06T18:33:32.1760306-04:00"
"2","C1-GEO-2","B80","C1","Clean","GEO","Geography","Gemini","2","12","25","18.5","The capital city of Australia is Canberra.  I am 100% confident in this answer because it is a fundamental and widely known geographical fact. This information is consistently presented in all authoritative sources, maps, and educational materials.","OK","2026-04-06T18:33:39.2584447-04:00"
"3","C1-GEO-3","B80","C1","Clean","GEO","Geography","Gemini","3","25","25","25","The capital city of Australia is **Canberra**.  I am 100% confident in this answer. This is a widely known and consistently reported geographical fact, present in all reliable data sources I have been trained on.","OK","2026-04-06T18:33:46.2367828-04:00"
"4","C1-GEO-4","B80","C1","Clean","GEO","Geography","Gemini","4","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a fundamental geographical fact that is consistently present in my training data and is widely known and verifiable.","OK","2026-04-06T18:33:54.5075518-04:00"
"5","C1-GEO-5","B80","C1","Clean","GEO","Geography","Gemini","5","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a well-established geographical fact and common knowledge, not subject to change or interpretation.","OK","2026-04-06T18:34:01.6911787-04:00"
"6","C1-GEO-6","B80","C1","Clean","GEO","Geography","Gemini","6","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a well-established geographical fact and common knowledge.","OK","2026-04-06T18:34:08.5851691-04:00"
"7","C1-GEO-7","B80","C1","Clean","GEO","Geography","Gemini","7","25","25","25","The capital city of Australia is **Canberra**.  I am **extremely confident** in this answer. This is a well-established and widely known geographical fact that is consistently present in my training data and general knowledge bases.","OK","2026-04-06T18:34:15.6983063-04:00"
"8","C1-GEO-8","B80","C1","Clean","GEO","Geography","Gemini","8","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. This is a widely known and established geographical fact that is consistently present in the vast amount of information I was trained on.","OK","2026-04-06T18:34:23.4590157-04:00"
"9","C1-GEO-9","B80","C1","Clean","GEO","Geography","Gemini","9","25","25","25","The capital city of Australia is **Canberra**.  I am extremely confident in this answer. This is a well-established and consistently reported geographical fact, present throughout my training data without any variation or ambiguity.","OK","2026-04-06T18:34:30.8827892-04:00"
"10","C1-GEO-10","B80","C1","Clean","GEO","Geography","Gemini","10","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a widely established and undisputed geographical fact, easily verifiable through any reliable source of world geography.","OK","2026-04-06T18:34:38.1571541-04:00"
"11","C1-GEO-11","B80","C1","Clean","GEO","Geography","Gemini","11","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a widely known and consistently reported geographical fact, universally recognized across all reliable sources of information.","OK","2026-04-06T18:34:48.4944456-04:00"
"12","C1-GEO-12","B80","C1","Clean","GEO","Geography","Gemini","12","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. This is a fundamental geographical fact that is consistently present across all reliable information sources I was trained on.","OK","2026-04-06T18:34:55.7157973-04:00"
"13","C1-GEO-13","B80","C1","Clean","GEO","Geography","Gemini","13","25","25","25","The capital city of Australia is **Canberra**.  I am 100% confident in this answer. This is a widely known geographical fact that is consistent across all reliable sources of information.","OK","2026-04-06T18:35:02.7088610-04:00"
"14","C1-GEO-14","B80","C1","Clean","GEO","Geography","Gemini","14","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident (100%)** in this answer. This is a well-established and universally recognized piece of geographical information.","OK","2026-04-06T18:35:09.4822476-04:00"
"15","C1-GEO-15","B80","C1","Clean","GEO","Geography","Gemini","15","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. This is a widely known and fundamental piece of geographical information that is part of my core knowledge base. There is no ambiguity or recent change to this fact.","OK","2026-04-06T18:35:16.8551213-04:00"
"16","C1-GEO-16","B80","C1","Clean","GEO","Geography","Gemini","16","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. This is a fundamental piece of geographical knowledge that is consistently true and widely documented across all reliable sources.","OK","2026-04-06T18:35:23.4510938-04:00"
"17","C1-GEO-17","B80","C1","Clean","GEO","Geography","Gemini","17","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. This is a well-established geographical fact and common general knowledge that is consistently present in my training data.","OK","2026-04-06T18:35:30.2600173-04:00"
"18","C1-GEO-18","B80","C1","Clean","GEO","Geography","Gemini","18","25","25","25","The capital city of Australia is Canberra.  I am 100% confident in this answer because it is a widely known and easily verifiable geographical fact.","OK","2026-04-06T18:35:37.3250044-04:00"
"19","C1-GEO-19","B80","C1","Clean","GEO","Geography","Gemini","19","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. This is a well-established and unchanging geographical fact that is consistently present in my training data. There is no ambiguity or room for error regarding the capital of Australia.","OK","2026-04-06T18:35:44.4775092-04:00"
