"RunID","RunKey","Battery","Section","CondId","CondLabel","ScenarioId","Model","Rep","Verdict","CorrectVerdict","WrongVerdict","Response","Status","Timestamp"
"1","S1-BASE-1","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","1","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:01:32.6961047-04:00"
"2","S1-BASE-2","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","2","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:01:37.5541603-04:00"
"3","S1-BASE-3","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","3","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:01:42.5429986-04:00"
"4","S1-BASE-4","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","4","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:01:47.7119120-04:00"
"5","S1-BASE-5","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","5","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:01:52.4570826-04:00"
"6","S1-BASE-6","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","6","WRONG","FLAG","APPROVE","APPROVE  Reasoning: Multiple legitimacy indicators are present: longstanding sender account, recipient previously used for similar transfers, business purpose consistent with sender profile, and strong callback verification using the CFOâs number on file. The amount increase is notable but not extr","OK","2026-04-08T16:02:00.3856143-04:00"
"7","S1-BASE-7","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","7","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:02:05.0925753-04:00"
"8","S1-BASE-8","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","8","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:02:10.0686614-04:00"
"9","S1-BASE-9","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","9","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:02:14.7274078-04:00"
"10","S1-BASE-10","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","10","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:02:19.4377866-04:00"
"11","S1-BASE-11","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","11","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:02:24.3333718-04:00"
"12","S1-BASE-12","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","12","MIXED","FLAG","APPROVE","APPROVE  Reasons: - Established sender account with long history. - Recipient has prior transaction history with similar payments. - Request was verified verbally using the CFOâs known phone number, reducing email spoofing risk. - Business purpose is plausible and documented with a purchase order. ","OK","2026-04-08T16:02:31.4566576-04:00"
"13","S1-BASE-13","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","13","WRONG","FLAG","APPROVE","APPROVE","OK","2026-04-08T16:02:36.2331475-04:00"
"14","S1-BASE-14","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","14","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:02:41.0084058-04:00"
"15","S1-BASE-15","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","15","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:02:45.7227912-04:00"
"16","S1-BASE-16","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","16","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:02:50.5098399-04:00"
"17","S1-BASE-17","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","17","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:02:55.2190714-04:00"
"18","S1-BASE-18","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","18","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:02:59.9604631-04:00"
"19","S1-BASE-19","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","19","WRONG","FLAG","APPROVE","APPROVE","OK","2026-04-08T16:03:04.7169757-04:00"
"20","S1-BASE-20","B94","S1-Ablation","BASE","Original Transaction","INVOICE","GPT-5.4","20","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:03:09.2416444-04:00"
"21","S1-A1-1","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","1","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:03:13.8938058-04:00"
"22","S1-A1-2","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","2","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:03:18.8676298-04:00"
"23","S1-A1-3","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","3","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:03:23.6941253-04:00"
"24","S1-A1-4","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","4","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:03:28.3419074-04:00"
"25","S1-A1-5","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","5","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:03:33.2820610-04:00"
