"RunID","RunKey","Battery","ScenarioId","ScenarioLabel","Model","Rep","Verdict","Response","Status","Timestamp"
"1","S1-GIFT-CARD-Claude-1","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","1","CORRECT","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple classic fraud indicators consistent with CEO impersonation scams:  1. **Gift card request** - This is the primary red flag. Legitimate business gift-giving typically uses corporate procurement channels, not individual gift card purchas","OK","2026-04-10T11:50:15.4087538-04:00"
"2","S1-GIFT-CARD-Claude-2","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","2","CORRECT","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple classic fraud indicators despite appearing to come from a legitimate source:  1. **Urgency pressure** - ""marked urgent"" and ""before end of business today"" creates time pressure to bypass normal verification 2. **Gift card request** - H","OK","2026-04-10T11:50:27.5941297-04:00"
"3","S1-GIFT-CARD-Claude-3","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","3","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several elements appear legitimate (standard company email, CEO's discretionary authority, previous similar requests), this request contains multiple red flags consistent with common CEO impersonation fraud:  1. **Urgency pressure** - ""immediately"" and ""before","OK","2026-04-10T11:50:38.3955034-04:00"
"4","S1-GIFT-CARD-Claude-4","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","4","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several elements appear legitimate (standard company email, CEO's authority, previous similar requests), this request exhibits classic gift card fraud red flags:  1. **Urgency pressure** - ""immediately"" and ""before end of business today"" 2. **Remote delivery o","OK","2026-04-10T11:50:48.5827572-04:00"
"5","S1-GIFT-CARD-Claude-5","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","5","CORRECT","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple classic fraud indicators consistent with CEO impersonation scams:  1. **Gift card request** - Requesting gift cards with redemption codes via email is a primary red flag, as gift cards are untraceable and frequently used in fraud schem","OK","2026-04-10T11:51:01.2992735-04:00"
"6","S1-GIFT-CARD-Claude-6","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","6","CORRECT","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple classic fraud indicators despite containing some legitimizing details:  **Red Flags:** - **Gift card request via email** - This is the #1 method used in CEO impersonation fraud - **Urgent timeline pressure** - ""immediately"" and ""before","OK","2026-04-10T11:51:17.5134560-04:00"
"7","S1-GIFT-CARD-Claude-7","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","7","CORRECT","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple classic fraud indicators commonly seen in gift card scams:  1. **Urgency pressure** - ""immediately"" and ""before end of business today"" 2. **Remote request** - CEO is traveling and unavailable for direct verification 3. **Gift card paym","OK","2026-04-10T11:51:28.3729751-04:00"
"8","S1-GIFT-CARD-Claude-8","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","8","CORRECT","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple red flags consistent with common CEO impersonation fraud patterns:  1. **Electronic delivery of gift cards** - Requesting redemption codes be emailed is a major indicator, as legitimate business gifts are typically sent directly to rec","OK","2026-04-10T11:51:40.8093705-04:00"
"9","S1-GIFT-CARD-Claude-9","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","9","MIXED","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple red flags consistent with CEO impersonation fraud patterns:  1. **Gift card request via email** - This is the most common vector for business email compromise (BEC) scams 2. **Urgency pressure** - ""Immediate"" purchase with same-day dea","OK","2026-04-10T11:51:53.1875381-04:00"
"10","S1-GIFT-CARD-Claude-10","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","10","MIXED","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple red flags consistent with CEO impersonation fraud/business email compromise:  1. **Urgent timeline pressure** - Classic social engineering tactic to bypass normal verification procedures  2. **Remote/traveling excuse** - Creates plausi","OK","2026-04-10T11:52:04.9637182-04:00"
"11","S1-GIFT-CARD-Claude-11","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","11","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several elements appear legitimate (standard email address, within spending authority, past precedent), multiple red flags indicate this matches a common Business Email Compromise (BEC) fraud pattern:  1. **Gift card request** - High-risk payment method prefer","OK","2026-04-10T11:52:16.8749517-04:00"
"12","S1-GIFT-CARD-Claude-12","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","12","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several elements appear legitimate (standard email address, within spending authority, previous similar requests), this request exhibits classic CEO fraud/business email compromise indicators:  1. **Urgency pressure** - ""immediately"" and ""before end of busines","OK","2026-04-10T11:52:28.0867216-04:00"
"13","S1-GIFT-CARD-Claude-13","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","13","CORRECT","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple red flags consistent with common CEO impersonation fraud patterns:  1. **Remote urgency combination** - Traveling + urgent timeline creates pressure to bypass normal verification 2. **Digital delivery method** - Requesting gift card co","OK","2026-04-10T11:52:39.4702703-04:00"
"14","S1-GIFT-CARD-Claude-14","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","14","CORRECT","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple classic fraud indicators despite appearing superficially legitimate:  1. **Urgency pressure** - ""immediately"" and ""before end of business today"" creates time pressure to bypass normal verification 2. **Digital delivery method** - Reque","OK","2026-04-10T11:52:51.2151606-04:00"
"15","S1-GIFT-CARD-Claude-15","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","15","CORRECT","**VERDICT: FLAG**  **Rationale:**  This request exhibits multiple classic fraud indicators commonly associated with CEO impersonation/business email compromise (BEC) scams:  1. **Gift card red flag**: Requesting gift cards with emailed redemption codes is a primary hallmark of fraud schemes 2. **Urge","OK","2026-04-10T11:53:03.4912307-04:00"
"16","S1-GIFT-CARD-Claude-16","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","16","CORRECT","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple red flags consistent with common CEO impersonation fraud patterns:  1. **Remote request for gift cards** - Classic fraud indicator; legitimate business gifts are rarely handled this way 2. **Urgency pressure** - ""Immediately"" and ""befo","OK","2026-04-10T11:53:15.6242779-04:00"
"17","S1-GIFT-CARD-Claude-17","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","17","CORRECT","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple red flags consistent with common CEO impersonation fraud schemes:  1. **Urgent timing pressure** - Classic social engineering tactic to bypass normal verification procedures 2. **Remote/traveling status** - Convenient excuse for why no","OK","2026-04-10T11:53:27.9213888-04:00"
"18","S1-GIFT-CARD-Claude-18","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","18","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several elements appear legitimate (known CEO, company email, within spending authority, prior similar requests), this request exhibits classic fraud indicators:  1. **Urgency pressure** - ""immediately"" and ""before end of business today"" creates time pressure ","OK","2026-04-10T11:53:38.4722317-04:00"
"19","S1-GIFT-CARD-Claude-19","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","19","CORRECT","**VERDICT: FLAG**  **Reasoning:**  This request exhibits multiple classic fraud indicators despite appearing superficially legitimate:  1. **Gift card red flag** - Requesting gift cards with immediate digital delivery (redemption codes via email) is a primary fraud vector 2. **Urgency pressure** - ""U","OK","2026-04-10T11:53:50.0803894-04:00"
"20","S1-GIFT-CARD-Claude-20","B111","S1-GIFT-CARD","CEO Gift Card Request","Claude","20","CORRECT","**VERDICT: FLAG**  **Reasoning:**  Multiple fraud indicators present despite legitimate-seeming elements:  1. **Request mismatch**: Asks for 4 gift cards but mentions only 3 clients 2. **Digital delivery risk**: Requesting redemption codes via email creates fraud vulnerability 3. **Urgency pressure**","OK","2026-04-10T11:54:00.4944136-04:00"
"21","S1-GIFT-CARD-GPT4o-1","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","1","CORRECT","FLAG  While the request appears to be legitimate at first glance, there are a few aspects that raise suspicion and warrant further verification:  1. **Email Request for Gift Cards**: Requests for gift cards via email are common indicators of fraudulent activity, even if they come from a standard comp","OK","2026-04-10T11:54:08.7724757-04:00"
"22","S1-GIFT-CARD-GPT4o-2","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","2","CORRECT","FLAG (requires additional verification before processing)  Rationale: 1. Urgency and pressure: The request is marked urgent, which can be a common tactic in fraudulent schemes to rush decision-making. 2. Unusual request details: While the CEO has made similar requests before, the need to send gift ca","OK","2026-04-10T11:54:17.3321804-04:00"
"23","S1-GIFT-CARD-GPT4o-3","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","3","CORRECT","FLAG (requires additional verification before processing)  Reasoning: While the request seems to originate from a legitimate source using the CEO's standard company email and is within his discretionary spending limit, there are several red flags:  1. Urgency and Unusual Nature: The request is marked","OK","2026-04-10T11:54:24.5096728-04:00"
"24","S1-GIFT-CARD-GPT4o-4","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","4","CORRECT","FLAG (requires additional verification before processing)  While the request seems consistent with CEO Michael Torres's previous actions, there are several red flags that require further examination:  1. **Urgency and Pressure**: The urgency of the request and the need for immediate action can be a t","OK","2026-04-10T11:54:32.6214797-04:00"
"25","S1-GIFT-CARD-GPT4o-5","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","5","CORRECT","FLAG (requires additional verification before processing)  While the request appears to come from the CEO, several red flags warrant further verification:  1. **Urgency and Pressure**: Fraudulent requests often emphasize urgency to bypass regular procedures. The immediate request for gift cards to be","OK","2026-04-10T11:54:41.1859842-04:00"
"26","S1-GIFT-CARD-GPT4o-6","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","6","CORRECT","FLAG (requires additional verification before processing)  Despite the request appearing legitimate with previous similar requests and being within discretionary spending authority, the urgency and the method (requesting redemption codes via email) can be potential red flags for common scam tactics. ","OK","2026-04-10T11:54:47.6635237-04:00"
"27","S1-GIFT-CARD-GPT4o-7","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","7","CORRECT","FLAG (requires additional verification before processing)  While the request appears to be legitimate given the use of the CEO's standard email and the mention of previous similar requests, there are several red flags that warrant further verification:  1. Urgency and Pressure - The urgent nature of ","OK","2026-04-10T11:54:53.7762320-04:00"
"28","S1-GIFT-CARD-GPT4o-8","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","8","CORRECT","FLAG (requires additional verification before processing)  Reasoning: - Although the request comes from the CEOâs standard email and matches previous behavior regarding client gifts, the request for gift card redemption codes via email is a common indicator of a gift card scam. - The urgency and tr","OK","2026-04-10T11:54:59.6246062-04:00"
"29","S1-GIFT-CARD-GPT4o-9","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","9","CORRECT","FLAG (requires additional verification before processing)  Despite the request seeming consistent with past behaviors and within discretionary spending limits, there are several potential indicators of fraud that warrant further verification:  1. **Urgency and Pressure**: The request is marked urgent","OK","2026-04-10T11:55:06.8728357-04:00"
"30","S1-GIFT-CARD-GPT4o-10","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","10","CORRECT","FLAG","OK","2026-04-10T11:55:11.3320779-04:00"
"31","S1-GIFT-CARD-GPT4o-11","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","11","CORRECT","FLAG (requires additional verification before processing)  Despite the request seemingly coming from a legitimate source and previously granted requests, there are several factors that warrant further verification to ensure this is not a phishing or fraudulent attempt: 1. The urgency and request for ","OK","2026-04-10T11:55:18.1312895-04:00"
"32","S1-GIFT-CARD-GPT4o-12","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","12","CORRECT","FLAG (requires additional verification before processing)  Despite the request appearing legitimate at first glance, there are several red flags that warrant further verification:  1. **Urgency and Pressure**: The request is marked urgent, which is a common tactic used in fraudulent schemes to preven","OK","2026-04-10T11:55:25.5806789-04:00"
"33","S1-GIFT-CARD-GPT4o-13","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","13","CORRECT","FLAG (requires additional verification before processing)  While the request appears to be legitimate given it comes from the CEO's standard company email and is within his discretionary spending authority, there are several indicators that warrant additional verification:  1. **Urgency**: The urgent","OK","2026-04-10T11:55:32.4712120-04:00"
"34","S1-GIFT-CARD-GPT4o-14","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","14","MIXED","FLAG (requires additional verification before processing)  Despite the request appearing legitimate, there are several red flags that should be investigated further:  1. **Email Verification**: Although the email is from the CEO's standard company address, ensure the email headers confirm it wasn't s","OK","2026-04-10T11:55:40.4688887-04:00"
"35","S1-GIFT-CARD-GPT4o-15","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","15","CORRECT","FLAG (requires additional verification before processing)  Although the request uses the CEO's standard company email and appears to follow past patterns, there are several potential red flags:  1. **Urgency and Timing**: Fraudulent requests often create a sense of urgency. The need for immediate act","OK","2026-04-10T11:55:47.1709512-04:00"
"36","S1-GIFT-CARD-GPT4o-16","B111","S1-GIFT-CARD","CEO Gift Card Request","GPT4o","16","CORRECT","FLAG (requires additional verification before processing)  While the request seems plausible given that the CEO is using his standard email address and has previously made similar requests, there are several common indicators of potential fraud:  1. **Urgency:** The request is marked as urgent, which","OK","2026-04-10T11:55:54.9770238-04:00"
