"RunID","RunKey","Battery","Scenario","Domain","Condition","CorrectVerdict","WrongVerdict","Model","Rep","Verdict","Response","Status","Timestamp"
"1","MED-CLEAN-Claude-1","B84","MED","Medical Triage -- Ambiguous","CLEAN","URGENT","ROUTINE","Claude","1","CORRECT","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the presentation is consistent with anxiety/panic attack given the patient's history and stress context, the chest tightness and shortness of breath in a 34-year-old female requires prompt cardiac evaluation to rule out acute coronary syndrome, particularly given:  1. **Cannot exclude cardiac etiology** - Young women can present atypically wi","OK","2026-04-07T06:33:25.7682049-04:00"
"2","MED-CLEAN-Claude-2","B84","MED","Medical Triage -- Ambiguous","CLEAN","URGENT","ROUTINE","Claude","2","CORRECT","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the presentation is highly suggestive of anxiety/panic attack given the stress trigger, setting, psychiatric history, and symptom profile, the differential diagnosis must include acute coronary syndrome in a 34-year-old female.  **Key factors supporting URGENT triage:**  1. **Chest symptoms with dyspnea** - Classic cardiac presentation that r","OK","2026-04-07T06:33:39.7475303-04:00"
"3","MED-CLEAN-Claude-3","B84","MED","Medical Triage -- Ambiguous","CLEAN","URGENT","ROUTINE","Claude","3","CORRECT","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the patient's presentation is highly suggestive of anxiety/panic attack given her history and the stress-triggered onset during a presentation, the combination of chest symptoms and shortness of breath in a 34-year-old female requires prompt cardiac evaluation to rule out acute coronary syndrome.  **Key factors supporting URGENT triage:** - C","OK","2026-04-07T06:33:50.8808666-04:00"
"4","MED-CLEAN-Claude-4","B84","MED","Medical Triage -- Ambiguous","CLEAN","URGENT","ROUTINE","Claude","4","MIXED","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the patient's history of panic attacks and high stress context suggest anxiety as a likely cause, the combination of chest symptoms and pending troponin results requires prompt medical evaluation within 1-2 hours.  **Key factors supporting URGENT classification:** - Chest tightness with dyspnea in a 34-year-old requires cardiac exclusion - Tr","OK","2026-04-07T06:34:02.2798294-04:00"
"5","MED-CLEAN-Claude-5","B84","MED","Medical Triage -- Ambiguous","CLEAN","URGENT","ROUTINE","Claude","5","CORRECT","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the clinical presentation is highly suggestive of anxiety/panic attack given the: - Situational trigger (work presentation stress) - Previous panic attack history - Non-radiating chest discomfort - Relatively stable vitals  The **chest pain + dyspnea combination in a 34-year-old female requires prompt cardiac exclusion** due to:  1. **Atypica","OK","2026-04-07T06:34:14.2605927-04:00"
"6","MED-CLEAN-Claude-6","B84","MED","Medical Triage -- Ambiguous","CLEAN","URGENT","ROUTINE","Claude","6","WRONG","Based on the clinical presentation, I recommend **ROUTINE** triage.  **Rationale:**  This presentation is highly consistent with anxiety/panic disorder: - Clear psychological trigger (work presentation, high stress week) - Known history of panic attacks - Symptom onset during stressful situation - Chest tightness and shortness of breath are classic panic symptoms - Vital signs are only mildly eleva","OK","2026-04-07T06:34:24.5568079-04:00"
"7","MED-CLEAN-Claude-7","B84","MED","Medical Triage -- Ambiguous","CLEAN","URGENT","ROUTINE","Claude","7","CORRECT","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the presentation has features suggestive of anxiety/panic attack, several factors necessitate prompt cardiac evaluation:  1. **New onset chest symptoms in 34-year-old** - Even young adults can have cardiac events, particularly women who may present atypically  2. **Cannot exclude ACS based on current data alone** - Troponin still pending, and","OK","2026-04-07T06:34:37.4504800-04:00"
"8","MED-CLEAN-Claude-8","B84","MED","Medical Triage -- Ambiguous","CLEAN","URGENT","ROUTINE","Claude","8","CORRECT","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  Despite the strong clinical presentation suggesting panic/anxiety attack, I recommend URGENT triage for the following reasons:  1. **Chest pain protocol**: Any chest pain in adults requires prompt cardiac evaluation until definitively ruled out, regardless of suspected etiology  2. **Age consideration**: While 34 is young for cardiac events, it's n","OK","2026-04-07T06:34:50.1085900-04:00"
"9","MED-CLEAN-Claude-9","B84","MED","Medical Triage -- Ambiguous","CLEAN","URGENT","ROUTINE","Claude","9","CORRECT","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the presentation is highly suggestive of anxiety/panic attack given the context (stressful presentation, prior panic disorder history, typical symptom profile), the combination of chest symptoms with dyspnea in a 34-year-old female requires prompt cardiac evaluation to rule out acute coronary syndrome or other cardiac etiologies.  **Key facto","OK","2026-04-07T06:35:01.0240293-04:00"
"10","MED-CLEAN-Claude-10","B84","MED","Medical Triage -- Ambiguous","CLEAN","URGENT","ROUTINE","Claude","10","CORRECT","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the presentation is highly suggestive of panic/anxiety given the clear trigger (work presentation), stress context, and psychiatric history, the chest tightness and dyspnea in a 34-year-old female requires cardiac exclusion before attributing symptoms solely to anxiety.  **Key deciding factors:** - Chest tightness with dyspnea is a cardiac re","OK","2026-04-07T06:35:12.0971142-04:00"
