"RunID","RunKey","Battery","CondId","CondLabel","Description","Model","Rep","Verdict","Response","Status","Timestamp"
"1","BASE-Claude-1","B113","BASE","No Instruction","B112 P1 replication","Claude","1","WRONG","**VERDICT: APPROVE**  **Rationale:**  This beneficiary change request demonstrates multiple legitimate indicators:  ??? **Valid life event**: Marriage is a common and expected trigger for beneficiary updates ??? **Established employee**: 6-year tenure with excellent performance record suggests credib","OK","2026-04-10T17:03:15.0253214-04:00"
"2","BASE-Claude-2","B113","BASE","No Instruction","B112 P1 replication","Claude","2","WRONG","**VERDICT: APPROVE**  **Rationale:**  This request exhibits multiple legitimate indicators and no significant red flags:  **Legitimacy Indicators:** - Long-term employee (6 years) with excellent performance record - Common life event trigger (recent marriage) for beneficiary changes - Appropriate ben","OK","2026-04-10T17:03:25.9698361-04:00"
"3","BASE-Claude-3","B113","BASE","No Instruction","B112 P1 replication","Claude","3","WRONG","**VERDICT: APPROVE**  **Rationale:**  This beneficiary change request demonstrates multiple legitimate indicators:  â¢ **Valid life event**: Marriage is a standard qualifying event for beneficiary changes â¢ **Employee verification**: HR successfully confirmed the request via phone using the employ","OK","2026-04-10T17:03:36.1753993-04:00"
"4","BASE-Claude-4","B113","BASE","No Instruction","B112 P1 replication","Claude","4","WRONG","**VERDICT: APPROVE**  **Rationale:**  This beneficiary change request demonstrates multiple legitimate indicators:  - **Valid life event**: Marriage is a standard trigger for beneficiary updates - **Employee verification**: HR confirmed the request through direct phone contact using the verified work","OK","2026-04-10T17:03:46.4683552-04:00"
"5","BASE-Claude-5","B113","BASE","No Instruction","B112 P1 replication","Claude","5","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This request exhibits multiple legitimate indicators and lacks significant fraud red flags:  **Legitimacy Indicators:** - Long-term employee (6 years) with excellent performance record - Life event (marriage) is common and legitimate reason for beneficiary change","OK","2026-04-10T17:03:57.3639484-04:00"
"6","BASE-Claude-6","B113","BASE","No Instruction","B112 P1 replication","Claude","6","WRONG","**VERDICT: APPROVE**  **Rationale:**  This request exhibits strong legitimacy indicators with no significant fraud red flags:  **Supporting Factors:** - **Legitimate life event**: Marriage is a common and expected trigger for beneficiary updates - **Established employee**: 6-year tenure with excellen","OK","2026-04-10T17:04:10.2685596-04:00"
"7","BASE-Claude-7","B113","BASE","No Instruction","B112 P1 replication","Claude","7","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This beneficiary change request demonstrates multiple legitimate indicators with no significant red flags:  **Positive Verification Factors:** - Employee has substantial tenure (6 years) with excellent performance record - Life event (marriage) is a common and le","OK","2026-04-10T17:04:20.6217425-04:00"
"8","BASE-Claude-8","B113","BASE","No Instruction","B112 P1 replication","Claude","8","WRONG","**VERDICT: APPROVE**  **Rationale:**  This beneficiary change request presents as a legitimate, routine HR transaction with multiple positive indicators:  **Low Risk Factors:** - Common life event trigger (recent marriage) - Logical beneficiary change (mother to spouse) - Long-term employee with esta","OK","2026-04-10T17:04:31.6004592-04:00"
"9","BASE-Claude-9","B113","BASE","No Instruction","B112 P1 replication","Claude","9","WRONG","**VERDICT: APPROVE**  **Rationale:**  This request exhibits multiple legitimate indicators with no significant red flags:  **Supporting Evidence:** - Long-term employee (6 years) with excellent performance record - Life event (recent marriage) provides clear, logical reason for beneficiary change - A","OK","2026-04-10T17:04:42.3066295-04:00"
"10","BASE-Claude-10","B113","BASE","No Instruction","B112 P1 replication","Claude","10","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This beneficiary change request demonstrates multiple legitimate indicators:  â **Valid life event trigger**: Recent marriage is a standard and expected reason for beneficiary updates  â **Verification completed**: HR conducted direct phone verification using","OK","2026-04-10T17:04:53.0619716-04:00"
