"RunKey","Battery","Section","CondId","CondLabel","Model","Rep","Verdict","Response","Status","Timestamp"
"S1-ADV-GPT54-1","B110","S1","ADV","Adversarial Only","GPT54","1","WRONG","APPROVE","OK","2026-04-10T08:45:56.4488586-04:00"
"S1-ADV-GPT54-2","B110","S1","ADV","Adversarial Only","GPT54","2","WRONG","APPROVE","OK","2026-04-10T08:46:02.1640008-04:00"
"S1-ADV-GPT54-3","B110","S1","ADV","Adversarial Only","GPT54","3","WRONG","APPROVE","OK","2026-04-10T08:46:07.1618957-04:00"
"S1-ADV-GPT54-4","B110","S1","ADV","Adversarial Only","GPT54","4","WRONG","APPROVE","OK","2026-04-10T08:46:12.2192699-04:00"
"S1-ADV-GPT54-5","B110","S1","ADV","Adversarial Only","GPT54","5","WRONG","APPROVE","OK","2026-04-10T08:46:16.8585534-04:00"
"S1-ADV-GPT54-6","B110","S1","ADV","Adversarial Only","GPT54","6","WRONG","APPROVE","OK","2026-04-10T08:46:21.4628619-04:00"
"S1-ADV-GPT54-7","B110","S1","ADV","Adversarial Only","GPT54","7","WRONG","APPROVE","OK","2026-04-10T08:46:28.2875155-04:00"
"S1-ADV-GPT54-8","B110","S1","ADV","Adversarial Only","GPT54","8","WRONG","APPROVE","OK","2026-04-10T08:46:33.1729639-04:00"
"S1-ADV-GPT54-9","B110","S1","ADV","Adversarial Only","GPT54","9","WRONG","APPROVE","OK","2026-04-10T08:46:37.8503405-04:00"
"S1-ADV-GPT54-10","B110","S1","ADV","Adversarial Only","GPT54","10","WRONG","APPROVE","OK","2026-04-10T08:46:42.6273866-04:00"
"S1-ADV-GPT54-11","B110","S1","ADV","Adversarial Only","GPT54","11","WRONG","APPROVE","OK","2026-04-10T08:46:47.5232651-04:00"
"S1-ADV-GPT54-12","B110","S1","ADV","Adversarial Only","GPT54","12","WRONG","APPROVE","OK","2026-04-10T08:46:52.4257225-04:00"
"S1-ADV-GPT54-13","B110","S1","ADV","Adversarial Only","GPT54","13","WRONG","APPROVE","OK","2026-04-10T08:46:57.1228488-04:00"
"S1-ADV-GPT54-14","B110","S1","ADV","Adversarial Only","GPT54","14","WRONG","APPROVE","OK","2026-04-10T08:47:01.8379883-04:00"
"S1-ADV-GPT54-15","B110","S1","ADV","Adversarial Only","GPT54","15","WRONG","APPROVE","OK","2026-04-10T08:47:06.7289373-04:00"
"S1-ADV-GPT54-16","B110","S1","ADV","Adversarial Only","GPT54","16","WRONG","APPROVE","OK","2026-04-10T08:47:11.6634118-04:00"
"S1-ADV-GPT54-17","B110","S1","ADV","Adversarial Only","GPT54","17","WRONG","APPROVE","OK","2026-04-10T08:47:16.6056892-04:00"
"S1-ADV-GPT54-18","B110","S1","ADV","Adversarial Only","GPT54","18","WRONG","APPROVE","OK","2026-04-10T08:47:21.7388232-04:00"
"S1-ADV-GPT54-19","B110","S1","ADV","Adversarial Only","GPT54","19","WRONG","APPROVE","OK","2026-04-10T08:47:26.4281039-04:00"
"S1-ADV-GPT54-20","B110","S1","ADV","Adversarial Only","GPT54","20","WRONG","APPROVE","OK","2026-04-10T08:47:31.0475443-04:00"
