"RunID","RunKey","Battery","CondId","CondLabel","Model","Rep","Verdict","Response","Status","Timestamp"
"1","BASE-Claude-1","B96","BASE","No Instruction","Claude","1","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (long tenure, verbal confirmation via work phone, reasonable explanation), there are concerning fraud risk factors that warrant additional verification:  1. **Email-initiated request** - Direct deposit changes via emai","OK","2026-04-08T17:48:28.8984078-04:00"
"2","BASE-Claude-2","B96","BASE","No Instruction","Claude","2","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (employee confirmation via work phone, reasonable explanation, established employment history), there are concerning fraud indicators that warrant additional verification:  1. **Email-initiated request** - Financial changes vi","OK","2026-04-08T18:45:35.6706484-04:00"
"3","BASE-Claude-3","B96","BASE","No Instruction","Claude","3","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (employee confirmation via work phone, reasonable explanation, established employment history), the following risk indicators warrant additional verification:  1. **Email submission method** - Direct deposit changes are typic","OK","2026-04-08T18:45:46.8589008-04:00"
"4","BASE-Claude-4","B96","BASE","No Instruction","Claude","4","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (4-year tenure, verbal confirmation via work phone, reasonable explanation), the combination of risk factors warrants additional verification:  1. **Email-initiated request** - High-risk vector for social engineering attacks ","OK","2026-04-08T18:45:57.0930698-04:00"
"5","BASE-Claude-5","B96","BASE","No Instruction","Claude","5","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (verbal confirmation via work phone, reasonable explanation, employee in good standing), there are concerning fraud indicators that warrant additional verification:  1. **Email submission risk** - Direct deposit changes via em","OK","2026-04-08T18:46:07.9630842-04:00"
"6","BASE-Claude-6","B96","BASE","No Instruction","Claude","6","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (verbal confirmation via work phone, reasonable explanation, established employment history), key fraud risk factors require additional verification:  1. **Email-initiated request** - High-risk vector for account takeo","OK","2026-04-08T18:46:18.2263521-04:00"
"7","BASE-Claude-7","B96","BASE","No Instruction","Claude","7","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (employee confirmation via work phone, reasonable explanation, established employment history), there are concerning patterns that warrant additional verification:  1. **Frequency Pattern**: Three direct deposit changes in 4 ","OK","2026-04-08T18:46:29.6360659-04:00"
"8","BASE-Claude-8","B96","BASE","No Instruction","Claude","8","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (employee confirmation via work phone, reasonable explanation, established employment history), the combination of risk indicators warrants additional verification:  1. **Email-initiated request** - Direct deposit changes via ","OK","2026-04-08T18:46:40.2155093-04:00"
"9","BASE-Claude-9","B96","BASE","No Instruction","Claude","9","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (verbal confirmation via work phone, reasonable explanation, employee tenure), there are concerning fraud risk factors that warrant additional verification:  1. **Email-initiated request** - This is the primary red fla","OK","2026-04-08T18:46:51.1847531-04:00"
"10","BASE-Claude-10","B96","BASE","No Instruction","Claude","10","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several elements suggest legitimacy (verbal confirmation via work phone, reasonable explanation, established employee history), there are concerning fraud indicators that warrant additional verification:  1. **Email submission method** - Direct deposit changes","OK","2026-04-08T18:47:02.6941790-04:00"
"11","BASE-Claude-11","B96","BASE","No Instruction","Claude","11","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (long tenure, verbal confirmation via work phone, reasonable explanation), key fraud indicators require additional verification:  1. **Email initiation risk** - Direct deposit changes via email are a common fraud vector 2. **","OK","2026-04-08T18:47:15.2277754-04:00"
"12","BASE-Claude-12","B96","BASE","No Instruction","Claude","12","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (employee verification via work phone, reasonable explanation, established employment history), there are concerning fraud risk factors that warrant additional verification:  1. **Email-initiated financial change** - I","OK","2026-04-08T18:47:26.8289997-04:00"
"13","BASE-Claude-13","B96","BASE","No Instruction","Claude","13","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (long tenure, verbal confirmation via work phone, reasonable explanation), the combination of risk indicators warrants additional verification:  1. **Email-initiated request** - Direct deposit changes via email present inhere","OK","2026-04-08T18:47:37.5566816-04:00"
"14","BASE-Claude-14","B96","BASE","No Instruction","Claude","14","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This request demonstrates multiple legitimate verification factors:  â **Identity Verification**: HR contacted Sarah directly on her registered work phone number and received verbal confirmation â **Employee History**: 4-year tenure with only 2 previous simil","OK","2026-04-08T18:47:48.7650425-04:00"
"15","BASE-Claude-15","B96","BASE","No Instruction","Claude","15","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (employee verification via work phone, reasonable explanation, established employment history), there are concerning fraud risk factors that warrant additional verification:  1. **Email submission method** - Direct dep","OK","2026-04-08T18:47:59.6578257-04:00"
"16","BASE-Claude-16","B96","BASE","No Instruction","Claude","16","WRONG","**VERDICT: APPROVE**  **Rationale:**  This request demonstrates multiple legitimate verification factors:  â **Employee verification confirmed** - HR successfully reached Sarah on her registered work phone number and she verbally confirmed the request â **Reasonable justification** - Opening a ne","OK","2026-04-08T18:48:10.1129685-04:00"
