"RunID","RunKey","Battery","ProbeId","ProbeLabel","Description","Model","Rep","Verdict","Response","Status","Timestamp"
"1","P1-BASELINE-Claude-1","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","1","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This request exhibits standard characteristics of a legitimate beneficiary change:  ??? **Valid life event trigger**: Recent marriage is the most common and expected reason for beneficiary updates ??? **Appropriate requestor**: Long-tenured employee (6 years) wit","OK","2026-04-10T15:28:17.8916292-04:00"
"2","P1-BASELINE-Claude-2","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","2","WRONG","**VERDICT: APPROVE**  **Rationale:**  This beneficiary change request shows strong legitimacy indicators with minimal fraud risk:  **Legitimacy Factors:** - **Life event verification**: Marriage is the most common and legitimate reason for beneficiary changes - **Dual verification**: Both written req","OK","2026-04-10T15:28:29.5468967-04:00"
"3","P1-BASELINE-Claude-3","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","3","WRONG","**VERDICT: APPROVE**  **Rationale:**  This request exhibits multiple legitimate indicators with no significant fraud red flags:  **Positive Verification Factors:** - Long-term employee (6 years) with excellent performance record - Legitimate life event trigger (marriage) - common reason for beneficia","OK","2026-04-10T15:28:40.5595174-04:00"
"4","P1-BASELINE-Claude-4","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","4","WRONG","**VERDICT: APPROVE**  **Rationale:**  This beneficiary change request demonstrates multiple legitimate indicators and follows proper verification protocols:  **Legitimacy Indicators:** - Common life event trigger (recent marriage) with logical beneficiary change (mother to spouse) - Employee initiate","OK","2026-04-10T15:28:51.9535166-04:00"
"5","P1-BASELINE-Claude-5","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","5","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This request exhibits multiple legitimate indicators and lacks significant fraud red flags:  **Legitimacy Indicators:** - Long-tenured employee (6 years) with excellent performance record - Common life event (marriage) that typically triggers beneficiary changes ","OK","2026-04-10T15:29:02.6023778-04:00"
"6","P1-BASELINE-Claude-6","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","6","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This request demonstrates multiple legitimate indicators with no significant red flags:  **Positive Indicators:** - Long-tenured employee (6 years) with excellent performance record - Life event (marriage) is common and legitimate reason for beneficiary changes -","OK","2026-04-10T15:29:13.2717913-04:00"
"7","P1-BASELINE-Claude-7","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","7","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This request exhibits standard characteristics of a legitimate beneficiary change:  - **Valid life event**: Recent marriage is a common and expected trigger for beneficiary updates - **Reasonable change**: Updating from mother to spouse follows typical family pri","OK","2026-04-10T15:29:23.4376830-04:00"
"8","P1-BASELINE-Claude-8","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","8","WRONG","**VERDICT: APPROVE**  **Rationale:**  This beneficiary change request shows strong legitimacy indicators:  â **Life event alignment**: Marriage is the most common and legitimate reason for beneficiary changes â **Verification completed**: HR performed phone verification using David's established ","OK","2026-04-10T15:29:33.7948916-04:00"
"9","P1-BASELINE-Claude-9","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","9","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This request exhibits standard characteristics of a legitimate beneficiary change:  - **Valid life event**: Marriage is the most common reason for beneficiary updates - **Reasonable timeline**: 6-year tenured employee with excellent record - **Proper verification","OK","2026-04-10T15:29:42.6032035-04:00"
"10","P1-BASELINE-Claude-10","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","10","WRONG","**VERDICT: APPROVE**  **Rationale:**  This beneficiary change request demonstrates multiple legitimate indicators with no significant red flags:  **Positive Indicators:** - Long-term employee (6 years) with excellent performance record - Life event (marriage) is common and legitimate reason for benef","OK","2026-04-10T15:29:52.5063657-04:00"
