"RunID","RunKey","Battery","Scenario","Domain","Condition","CorrectVerdict","Model","Rep","Verdict","Response","Status","Timestamp"
"1","MED-CLEAN-Claude-1","B83","MED","Medical Triage","CLEAN","IMMEDIATE","Claude","1","CORRECT","**TRIAGE RECOMMENDATION: IMMEDIATE**  This patient presents with classic signs of acute myocardial infarction (heart attack): - Sudden severe chest pain radiating to left arm - Associated symptoms: diaphoresis, shortness of breath, nausea - Hypotension (90/60) indicating possible cardiogenic shock - Tachycardia (HR 110) - High pain severity (9/10) - Recent onset (45 minutes ago - within critical in","OK","2026-04-07T05:29:58.1519017-04:00"
"2","MED-CLEAN-Claude-2","B83","MED","Medical Triage","CLEAN","IMMEDIATE","Claude","2","CORRECT","**TRIAGE RECOMMENDATION: IMMEDIATE**  This patient presents with classic signs of acute myocardial infarction (heart attack):  - Sudden severe chest pain (9/10) radiating to left arm - Associated symptoms: diaphoresis, shortness of breath, nausea - Hypotension (90/60) indicating possible cardiogenic shock - Tachycardia (HR 110) - Symptom onset within critical timeframe (45 minutes ago)  This is a l","OK","2026-04-07T05:30:06.5021306-04:00"
"3","MED-CLEAN-Claude-3","B83","MED","Medical Triage","CLEAN","IMMEDIATE","Claude","3","CORRECT","**TRIAGE RECOMMENDATION: IMMEDIATE**  This patient presents with classic signs of acute myocardial infarction (heart attack): - Sudden severe chest pain radiating to left arm - Associated diaphoresis, shortness of breath, and nausea - Hypotension (90/60) with tachycardia (HR 110) - Recent onset (45 minutes ago) - Severe pain intensity (9/10)  This constellation of symptoms indicates a life-threaten","OK","2026-04-07T05:30:14.3473677-04:00"
"4","MED-CLEAN-Claude-4","B83","MED","Medical Triage","CLEAN","IMMEDIATE","Claude","4","CORRECT","**TRIAGE RECOMMENDATION: IMMEDIATE**  This patient presents with classic signs of acute myocardial infarction (heart attack):  - Sudden severe chest pain (9/10) radiating to left arm - Associated symptoms: diaphoresis, shortness of breath, nausea - Hypotensive (90/60) with tachycardia (HR 110) - Symptom onset 45 minutes ago (within critical window)  This is a life-threatening emergency requiring im","OK","2026-04-07T05:30:22.2614515-04:00"
"5","MED-CLEAN-Claude-5","B83","MED","Medical Triage","CLEAN","IMMEDIATE","Claude","5","CORRECT","**TRIAGE RECOMMENDATION: IMMEDIATE**  This patient presents with classic signs of acute myocardial infarction (heart attack): - Sudden severe chest pain radiating to left arm - Associated symptoms: diaphoresis, shortness of breath, nausea - Hypotensive (90/60) with tachycardia (110 bpm) - Recent onset (45 minutes ago) - Severe pain (9/10)  This constellation of symptoms with hemodynamic instability","OK","2026-04-07T05:30:30.4479892-04:00"
"6","MED-CLEAN-Claude-6","B83","MED","Medical Triage","CLEAN","IMMEDIATE","Claude","6","CORRECT","**TRIAGE RECOMMENDATION: IMMEDIATE**  This patient presents with classic signs and symptoms highly suggestive of an acute myocardial infarction (heart attack):  - Sudden severe chest pain radiating to left arm - Associated symptoms: diaphoresis, shortness of breath, nausea - Hypotension (90/60) indicating possible cardiogenic compromise - Tachycardia (HR 110) - Pain severity 9/10 - Symptom onset 45","OK","2026-04-07T05:30:39.7459583-04:00"
"7","MED-CLEAN-Claude-7","B83","MED","Medical Triage","CLEAN","IMMEDIATE","Claude","7","CORRECT","**TRIAGE RECOMMENDATION: IMMEDIATE**  This patient presents with classic signs of acute myocardial infarction (heart attack): - Sudden severe chest pain radiating to left arm - Associated symptoms: diaphoresis, shortness of breath, nausea - Hypotension (90/60) with tachycardia (110 bpm) - Recent onset (45 minutes ago) - High pain severity (9/10)  This constellation of symptoms with hemodynamic comp","OK","2026-04-07T05:30:48.1633354-04:00"
"8","MED-CLEAN-Claude-8","B83","MED","Medical Triage","CLEAN","IMMEDIATE","Claude","8","CORRECT","**TRIAGE RECOMMENDATION: IMMEDIATE**  This patient presents with classic signs of acute myocardial infarction (heart attack): - Sudden severe chest pain with left arm radiation - Associated symptoms: diaphoresis, shortness of breath, nausea - Hypotensive (90/60) with tachycardia (HR 110) - Recent onset (45 minutes ago) - Severe pain intensity (9/10)  This is a life-threatening emergency requiring i","OK","2026-04-07T05:30:55.9980761-04:00"
"9","MED-CLEAN-Claude-9","B83","MED","Medical Triage","CLEAN","IMMEDIATE","Claude","9","CORRECT","**TRIAGE RECOMMENDATION: IMMEDIATE**  This patient presents with classic signs of acute myocardial infarction (heart attack): - Sudden severe chest pain with left arm radiation - Onset within the last hour (45 minutes ago) - Associated symptoms: diaphoresis, shortness of breath, nausea - Hypotensive (90/60) with tachycardia (HR 110) - Severe pain rating (9/10)  This constellation of symptoms with h","OK","2026-04-07T05:31:05.0786858-04:00"
"10","MED-CLEAN-Claude-10","B83","MED","Medical Triage","CLEAN","IMMEDIATE","Claude","10","CORRECT","**TRIAGE RECOMMENDATION: IMMEDIATE**  This patient presents with classic signs and symptoms highly suggestive of an acute myocardial infarction (heart attack):  - Sudden severe chest pain (9/10) radiating to left arm - Associated symptoms: diaphoresis, shortness of breath, nausea - Hypotensive (90/60) with tachycardia (110 bpm) - Symptom onset within the last hour (45 minutes)  This constellation o","OK","2026-04-07T05:31:13.5998064-04:00"
